time,count
2013-01-01,35254
2013-02-01,30195
2013-03-01,31614
2013-04-01,31031
2013-05-01,34705
2013-06-01,35758
2013-07-01,38908
2013-08-01,34477
2013-09-01,32648
2013-10-01,33401
2013-11-01,33125
2013-12-01,34467
2014-01-01,41622
2014-02-01,32832
2014-03-01,37282
2014-04-01,36332
2014-05-01,36888
2014-06-01,36381
2014-07-01,37603
2014-08-01,36003
2014-09-01,35643
2014-10-01,37805
2014-11-01,36408
2014-12-01,35727
2015-01-01,39828
2015-02-01,40900
2015-03-01,40378
2015-04-01,39318
2015-05-01,41232
2015-06-01,40997
2015-07-01,42908
2015-08-01,41135
2015-09-01,39550
2015-10-01,41975
2015-11-01,37779
2015-12-01,38874
2016-01-01,41278
2016-02-01,40775
2016-03-01,38071
2016-04-01,37010
2016-05-01,39157
2016-06-01,38977
2016-07-01,42626
2016-08-01,41537
2016-09-01,38303
2016-10-01,41351
2016-11-01,38428
2016-12-01,40928
2017-01-01,39284
2017-02-01,34616
2017-03-01,38171
2017-04-01,36967
2017-05-01,39518
2017-06-01,40707
2017-07-01,40709
2017-08-01,40226
2017-09-01,37989
2017-10-01,40847
2017-11-01,38280
2017-12-01,41041
